id,Calories
750000,26.388
750001,107.146
750002,86.024
750003,126.415
750004,75.857
750005,21.676
750006,48.972
750007,6.905
750008,9.859
750009,205.956
750010,76.886
750011,218.014
750012,69.951
750013,251.194
750014,86.344
750015,138.198
750016,66.913
750017,161.971
750018,125.378
750019,188.397
750020,85.829
750021,63.42
750022,77.144
750023,5.799
750024,34.768
750025,151.546
750026,75.276
750027,156.296
750028,84.69
750029,16.304
750030,86.009
750031,21.353
750032,32.076
750033,11.398
750034,95.755
750035,105.8
750036,50.307
750037,43.425
750038,154.927
750039,131.691
750040,102.446
750041,38.451
750042,84.167
750043,90.48
750044,186.775
750045,102.01
750046,213.056
750047,16.918
750048,28.241
750049,144.077
750050,205.66
750051,158.294
750052,24.949
750053,44.01
750054,69.27
750055,79.66
750056,118.707
750057,220.579
750058,133.56
750059,173.477
750060,110.071
750061,123.047
750062,117.372
750063,29.388
750064,123.164
750065,9.554
750066,32.773
750067,160.49
750068,7.19
750069,162.328
750070,97.974
750071,184.647
750072,140.755
750073,31.001
750074,147.725
750075,144.595
750076,82.067
750077,7.433
750078,133.536
750079,153.064
750080,68.673
750081,164.87
750082,14.607
750083,85.83
750084,144.513
750085,45.152
750086,9.164
750087,44.465
750088,25.659
750089,92.001
750090,22.047
750091,133.611
750092,54.761
750093,69.811
750094,10.942
750095,15.521
750096,25.873
750097,33.67
750098,199.881
750099,33.331
750100,22.293
750101,134.439
750102,81.094
750103,61.344
750104,53.779
750105,6.902
750106,29.947
750107,143.139
750108,2.299
750109,42.704
750110,83.564
750111,34.346
750112,36.06
750113,77.031
750114,166.084
750115,70.552
750116,59.344
750117,128.498
750118,131.173
750119,9.482
750120,137.139
750121,120.25
750122,246.623
750123,68.207
750124,14.716
750125,149.488
750126,105.164
750127,108.632
750128,113.028
750129,33.714
750130,121.372
750131,193.257
750132,161.904
750133,113.294
750134,68.558
750135,102.833
750136,16.541
750137,121.769
750138,52.416
750139,70.657
750140,18.497
750141,16.329
750142,66.104
750143,8.977
750144,81.643
750145,33.141
750146,7.53
750147,4.934
750148,69.457
750149,78.861
750150,6.171
750151,70.013
750152,10.342
750153,55.88
750154,159.87
750155,28.913
750156,145.719
750157,72.35
750158,47.944
750159,23.611
750160,23.395
750161,29.051
750162,114.209
750163,72.362
750164,75.626
750165,114.396
750166,39.271
750167,236.758
750168,28.876
750169,53.22
750170,40.188
750171,132.63
750172,130.485
750173,33.955
750174,49.414
750175,122.89
750176,152.034
750177,57.946
750178,57.821
750179,188.315
750180,31.154
750181,44.69
750182,69.635
750183,122.727
750184,68.298
750185,80.698
750186,158.098
750187,17.435
750188,23.851
750189,139.872
750190,55.247
750191,73.289
750192,110.493
750193,57.734
750194,119.952
750195,148.41
750196,80.357
750197,54.951
750198,144.108
750199,25.84
750200,81.157
750201,247.506
750202,32.45
750203,263.902
750204,19.417
750205,210.894
750206,93.365
750207,58.262
750208,14.211
750209,78.208
750210,203.158
750211,66.268
750212,22.656
750213,17.62
750214,92.252
750215,29.909
750216,39.906
750217,23.111
750218,141.92
750219,29.096
750220,40.72
750221,70.768
750222,84.605
750223,6.953
750224,73.009
750225,117.881
750226,16.282
750227,83.327
750228,26.855
750229,193.948
750230,6.774
750231,7.111
750232,138.484
750233,70.623
750234,14.721
750235,153.263
750236,16.474
750237,83.522
750238,60.61
750239,113.481
750240,7.579
750241,31.187
750242,25.173
750243,20.714
750244,158.535
750245,97.278
750246,84.137
750247,43.277
750248,49.396
750249,91.04
750250,42.438
750251,104.567
750252,164.263
750253,10.711
750254,19.793
750255,15.214
750256,119.463
750257,134.39
750258,31.719
750259,204.77
750260,144.681
750261,36.921
750262,17.883
750263,37.86
750264,189.097
750265,47.999
750266,27.005
750267,8.426
750268,83.453
750269,10.98
750270,127.145
750271,57.537
750272,22.343
750273,196.336
750274,155.96
750275,238.743
750276,22.996
750277,178.947
750278,64.46
750279,92.523
750280,84.904
750281,35.409
750282,93.703
750283,99.174
750284,54.07
750285,55.451
750286,89.574
750287,100.933
750288,10.858
750289,150.591
750290,35.12
750291,90.802
750292,69.452
750293,47.876
750294,174.711
750295,65.625
750296,247.118
750297,103.404
